epoch,train_loss,val_loss
1,0.25695334255695346,0.010180686600506306
2,0.12857230484485627,0.01268443800508976
3,0.07101477637887,0.014054796546697617
4,0.041861262544989584,0.011486510187387467
5,0.02708191566169262,0.009884910136461257
6,0.019000586196780203,0.0106431720033288
7,0.01345334827899933,0.011249972619116306
8,0.010652059093117713,0.010459494180977344
9,0.008159296028316021,0.008891794420778752
10,0.006965761706233024,0.00747172249481082
11,0.005990807451307773,0.00668551230803132
12,0.005405580848455429,0.006786950454115867
13,0.004655613396316767,0.005310394391417503
14,0.0037957475241273643,0.006440260093659163
15,0.0034327987022697926,0.03916187687776983
16,0.00327762046828866,0.007377433143556118
17,0.002989663975313306,0.006850883271545172
18,0.002920495318248868,0.0031878769863396884
19,0.0024957922473549843,0.002830592319369316
20,0.002296244162134826,0.0025621181633323433
21,0.002031939812004566,0.02542105128057301
22,0.0019940448459237815,0.0028435575962066652
23,0.001933370465412736,0.004116156590171159
24,0.0018234406504780054,0.011765489326789976
25,0.0017026158329099417,0.020566628854721783
26,0.0016386280348524452,0.013073877296410501
27,0.0015937414672225715,0.011779786422848701
28,0.001414516158401966,0.010952517446130515
